CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP005425-RA	0.0521091498320216	0.0392954244634917	24	4	187.180781964655
AGAP005425-RB	0.779675982630628	0.77142980618821	24	4	98.3041625711748
AGAP005429-RA	0.00946299016075351	0.0040484183183763	24	20	15.9915345159045
AGAP005435-RA	0.0691577311827721	0.0544923423915021	20	6	17.0229485548366
AGAP005440-RA	0.0300039486594873	0.019611253592346	20	6	303.174933251787
AGAP005456-RA	0.117784403361405	0.100904671309083	24	4	358.592332210447
AGAP005462-RA	0.321001191624934	0.301988958170681	8	6	99.8703220789937
AGAP005465-RA	0.631227744328176	0.618543104304659	12	0	36.0523519537745
AGAP005499-RA	0.000872511020963259	0.000113043469135906	24	6	232.672989450787
AGAP005509-RA	0.0037014243629462	0.00101588537512907	24	6	144.432590855305
AGAP005510-RA	0.0300039486594873	0.019611253592346	24	12	131.269590999044
AGAP005511-RA	0.0300039486594873	0.019611253592346	24	14	31.1525544763409
AGAP005521-RA	0.000124057694793436	3.08340119264489e-06	24	16	294.282622747963
AGAP005528-RA	0.0399307547884998	0.0279578632152162	16	10	446.871877772477
AGAP005530-RA	0.0300039486594873	0.019611253592346	24	16	84.3728666894809
AGAP005536-RA	0.00185528640360573	0.000359087691020464	24	4	292.439792394846
AGAP005540-RA	0.0399307547884998	0.0279578632152162	24	22	41.4648971751819
AGAP005543-RA	0.0691577311827721	0.0544923423915021	20	10	664.829049274996
AGAP005547-RA	0.197557720419395	0.178334758728666	24	8	10.6610813714748
AGAP005548-RA	0.0170041501454752	0.00921695076632051	24	6	5.6471386820271
AGAP005552-RA	0.00703610430984441	0.00260830730893756	20	8	134.723012773759
AGAP005552-RB	0.00257170139228963	0.000611986053162524	20	10	91.6663311196133
AGAP005553-RA	0.00257170139228963	0.000611986053162524	20	10	300.965914053989
AGAP005563-RA	0.00257170139228963	0.000611986053162524	24	12	847.44827031685
AGAP005563-RB	0.022880709322003	0.0135517686095417	24	8	139.591623365144
AGAP005576-RA	0.090493406813153	0.0746056167222134	20	18	169.27433091114
AGAP005585-RB	0.000602902518168625	6.02583690818985e-05	24	12	83.4869685088499
AGAP005606-RA	0.0521091498320216	0.0392954244634917	24	16	84.7281965182054
AGAP005608-RA	0.0521091498320216	0.0392954244634917	8	4	121.396127413476
