id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP004744-RA	1996.55205873012	1627.56610190519	2225.2980093768	2188.02187947306	1855.84614022072	2333.4318459997	2023.7751636437	1663.72951790254	2007.36937092488	2143.78670845975	1666.16027698197	2166.41719192336	2023.05697575355	1500.89835734557	1638.72071893623	2044.0399618858	2534.19066622735	2305.82387880961	3061.4367171412	2114.58354291845	4452.56670266154	3255.48891121344	2751.46696471357	3775.61605900055	3241.04192891515	2502.42269825171	4220.15928327096	3555.98772404557	2811.20106984101	3384.1866923062	2085.92256358878	2842.83127276405	3302.46386356231	1617.98992447619	3246.96117128963
AGAP004745-RA	548.893359638186	499.173623141175	502.905975832143	485.827226527736	481.397303100334	494.413619481684	506.531414361461	484.624578972146	570.774318067006	459.516836021555	469.741478913692	467.962826413533	533.351384516844	401.246876292608	528.785732249723	530.234658690547	432.875250873926	511.287405098998	480.524480049569	416.790651759922	393.61564352958	426.721028035368	386.802057973628	394.962031043949	441.364361555636	479.327993720605	387.676302467504	407.189255782872	434.44734570509	445.875737671795	449.886753085799	371.147416166417	421.922083245818	465.855141391828	463.851595898518
AGAP004747-RA	356.210240319469	320.111341493339	325.792078043117	428.247703383708	326.601703870191	268.085763266251	218.595923599146	236.532363314845	229.18784156229	207.251470940334	195.153558045563	176.530619785462	405.447369107632	395.370876012172	377.704094464088	355.931000170726	363.401445178111	405.18840869205	200.218533353987	260.357415010135	277.549492232396	336.818378211892	283.354995957425	343.405215802781	262.196650429091	210.73903172199	215.978173169542	186.793129473211	123.436293208688	276.260138147445	342.726869393905	290.600530104769	278.040819834802	428.809006887507	320.737646179282
AGAP004750-RB	2143.59970242072	2314.8051381737	2750.14011016446	2899.36890498158	2378.06865630483	2332.59668785869	2680.73818134221	2672.10432992899	2492.0884841141	3028.12217043592	3369.58605751032	2720.03392852866	2780.44938072574	2392.37154274881	2521.17483054778	3195.32295009234	2658.17468869989	2609.48652369846	1572.1921976225	1895.79579921246	1621.56188189109	2395.71568261993	2538.9507177455	2372.53415850876	2598.66013536388	2925.55361684645	2318.82841988721	2574.58255173393	2496.55953813259	2523.92074741324	2883.15514657244	2646.99178508475	2765.82563786717	2658.98630404759	2292.86817316138
AGAP004764-RA	63.3826050390515	92.0320106793348	83.6822544599526	87.568858114876	115.671436787359	86.0212885246848	85.7930237781593	98.7033546163453	86.0552048777947	92.8411566655796	65.7049667791594	81.4756706702133	72.729734252297	78.9062894801362	71.2487269102711	72.5044629977406	82.2997390550427	89.6353590334558	58.1587168313963	54.696935926499	100.086029017137	51.9156146867955	75.3364473378869	66.2873338815019	64.0925145493333	92.5598884425996	72.2939491780893	63.2526999274364	94.3924595125265	42.6578154492378	60.9702786522849	52.9082486875531	69.9962903080619	70.3876555582086	77.1394338912196
AGAP004766-RB	1808.93954781453	1477.51391058019	1774.38877417997	1542.65139090042	1433.98560605506	1691.19523555812	1901.54948593235	1445.87076221781	1981.02594086025	2325.71786394583	1901.52135201179	1838.42538948174	1707.05882003667	1537.83321625117	1841.30746051243	2078.4612726019	1341.3788638192	1910.69658184581	1043.04321661553	1510.7293702899	884.794138874185	1278.89684960155	880.424451724857	1196.85463952712	1546.96023753164	1365.25835452834	1119.65253789566	1680.14984182253	1054.04913122321	1627.09096070664	1295.15652531066	1225.57614870272	1425.20224432804	1560.56841599449	1254.53079328352
AGAP004772-RA	896.230035252188	968.336808017349	1058.62114137202	819.308631403565	1056.35238595515	724.082108261182	954.300483669388	862.542828629323	1177.55132388901	1164.73451089545	1065.98953565591	857.583661798014	897.000055778329	993.88347600512	1228.39672540479	1155.6771980852	857.199879508367	1047.27026625823	744.622259759352	1133.32051239706	687.986317109395	601.461389664094	609.438126225891	727.31935786648	738.520565375272	809.899023872746	807.884882065148	777.810544420195	645.015140002264	798.310546264308	1115.01706565618	916.02341011286	874.953628850774	1000.24563161665	768.349361258595
AGAP004774-RA	320.715981497601	350.121779758339	421.66106858947	273.502734934133	284.075440345427	300.656930765889	314.966169486941	267.655042698378	353.001962866056	342.293153362995	346.176914523034	332.170041963177	371.172436873791	365.990874609994	405.173483152385	367.648893180462	320.648333980686	452.750027771027	281.259368282982	411.320958167273	234.655479796481	248.181962892973	313.714459810006	308.420234031988	286.95966741406	320.653899247577	300.923563453797	178.886541982281	175.473161914312	293.52639678166	281.75659074162	388.52027394442	382.063084598171	388.058258932755	283.182921784872
AGAP004780-RA	521.005013421003	428.14891924734	428.160661168884	439.043863973214	464.386797690429	298.986614483856	358.450304826556	418.822342561249	419.738652363121	452.952309792676	451.108727140497	410.512032992228	534.187358473767	496.102309391069	482.431138838221	467.983352076325	373.020895197531	385.98083175631	325.116761303379	529.46633976851	409.595765809628	350.746957762008	351.944895772516	341.563900972739	314.635980514909	364.454560742736	344.29993296065	415.095843273801	370.308879626066	359.544444500719	483.143268714318	413.789885257878	428.727278136879	429.735160250115	369.457288636894
AGAP004781-RA	465.228320986638	359.124911237839	437.097600965578	363.470739846677	307.890147919295	285.624084227594	367.852280035121	434.828291958494	410.957509008244	419.191889187011	452.089398286455	325.902682680853	340.241400467642	385.297732674282	434.359708633701	336.157055716797	228.729144906223	375.919720028065	314.62912384198	346.778573774004	276.708433165026	289.967701543321	294.599241828752	285.403798656467	335.02905332606	352.884574687411	282.850076159274	370.621288637323	198.466196923774	282.35411178305	409.239900650943	313.501115357591	334.42672036074	380.649032031891	252.733145248864
