id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGAP005581-RA	1404.40230997247	-1.190978913126	0.135863897351583	-8.76597047738174	1.8517454449712e-18	4.04803696863787e-16
AGAP001038-RA	98.0028873495905	3.39251752210725	0.387806941567691	8.74795460956208	2.17254614490409e-18	4.67272626488647e-16
AGAP006096-RA	789.247130566791	-0.631002101875518	0.072226805241613	-8.73639779254656	2.40661448922982e-18	5.09400066886978e-16
AGAP008285-RA	314.126265993085	0.589661369994356	0.0677104549376617	8.70857197071315	3.07726924509866e-18	6.41177896615478e-16
AGAP007455-RA	39.4820047962794	-5.17924903060799	0.595363959535128	-8.69929888710772	3.33940909822367e-18	6.85092620381734e-16
AGAP002399-RA	72.9343143944053	-1.96402353177622	0.226440554594884	-8.6734619392272	4.19177294657313e-18	8.34287943918696e-16
AGAP006186-RA	2793.55343433971	-1.99944897982569	0.230508209329777	-8.67409011435758	4.1687011722655e-18	8.34287943918696e-16
AGAP029900-RA	857.710048410677	-1.35706028583638	0.156936587261733	-8.64718871178919	5.27836424861059e-18	1.03510275375327e-15
AGAP001013-RA	36.6649372602452	-2.34829012686968	0.271926018238246	-8.63576844203351	5.83335668479756e-18	1.12735958538805e-15
AGAP001023-RA	1224.75034174196	-1.66028402468773	0.192379952379562	-8.63023409742831	6.1226531072219e-18	1.16636541692577e-15
AGAP003030-RA	598.084466552434	-1.72405853074455	0.200106811618923	-8.61569137400376	6.95207939098677e-18	1.30571800956068e-15
AGAP006179-RC	3139.48356715907	-2.04745265775773	0.237769091529906	-8.61109677706028	7.236486582423e-18	1.34025761911959e-15
AGAP006099-RA	4461.52407454426	-0.815058335957734	0.0950303320398715	-8.57682298337927	9.75295398451738e-18	1.78158412854163e-15
AGAP002728-RA	3684.39687914791	-0.717921864520714	0.0837525143263254	-8.57194402216357	1.01752549946844e-17	1.83360845073131e-15
AGAP004787-RA	59.1006886789694	-2.21058013092356	0.258084174505628	-8.56534553177477	1.0775222766229e-17	1.91583460783552e-15
AGAP005832-RA	237.604784049495	-1.99526725607352	0.233373689998966	-8.54966665729269	1.23444506788994e-17	2.165963813199e-15
AGAP006260-RD	1077.14607950227	-1.62338108454069	0.190336646737356	-8.52899907804295	1.47619364288445e-17	2.55649899063171e-15
AGAP000170-RA	1297.08330467904	-1.0121883741473	0.118750112083278	-8.52368352660976	1.54557570699567e-17	2.6423400067676e-15
AGAP006548-RA	491.846231102334	-1.379700185401	0.162822904971723	-8.47362467608967	2.37872994753446e-17	4.01523593042684e-15
AGAP007876-RA	125.112668735094	-2.22256367035896	0.262503640224701	-8.46679180698775	2.52244372675385e-17	4.20459838703282e-15
AGAP005378-RC	124.499137292141	-2.46613145924469	0.291427678092328	-8.46224173142329	2.62286137218161e-17	4.3180069627212e-15
AGAP010327-RA	163.976763949686	-1.21915484313099	0.144765181320334	-8.42160270868769	3.71368553503463e-17	6.03926787923009e-15
AGAP029375-RA	23.1256705726869	7.09707914315094	0.843130382730799	8.41753456940354	3.84489842314047e-17	6.17731571958773e-15
AGAP010066-RA	70.7651194188417	-2.15126523553496	0.256212190204575	-8.39642030231765	4.60295902256978e-17	7.30719744832953e-15
AGAP013279-RA	56.7656395575625	1.26617885607507	0.150927121943217	8.38933943596593	4.88881277069155e-17	7.65229403072344e-15
AGAP005748-RA	260.950748701613	1.08348539571631	0.129167327447637	8.38823111947984	4.93511276072153e-17	7.65229403072344e-15
AGAP003586-RA	2770.83121482669	-1.54195207563612	0.183868077141168	-8.38618698585866	5.02164382702588e-17	7.6969678659069e-15
AGAP013449-RA	142.924203523216	-0.715045437046015	0.0853465285472648	-8.37814319126083	5.37692058808934e-17	8.13959472920149e-15
AGAP007391-RA	2433.92492482362	-1.17200471706201	0.139908579153503	-8.37693245227033	5.43250041918959e-17	8.13959472920149e-15
AGAP002761-RA	199.876688283622	-1.18119547572398	0.141491870779217	-8.34815081049506	6.93400018658986e-17	1.02738769431306e-14
AGAP000305-RA	753.698171715591	-1.16762531879845	0.140350004307978	-8.31938213721933	8.84230349038682e-17	1.29573754993745e-14
AGAP010147-RJ	4775.36868926288	-1.81463802706671	0.21830323495003	-8.31246512440408	9.37342040703542e-17	1.35863653399801e-14
AGAP001497-RB	1469.74220880645	-1.89565494558828	0.228089921487472	-8.31099828184388	9.49003000108354e-17	1.36074785015537e-14
AGAP003325-RA	6646.03476501723	-0.799729562614485	0.0962695276585069	-8.30719316969471	9.79923542279243e-17	1.39013621662699e-14
AGAP001007-RA	216.01931167602	-1.14406599659483	0.137775560784391	-8.30383843173184	1.00800696095486e-16	1.41492345519295e-14
AGAP007753-RA	100.84871484609	-2.66365550993825	0.32117514167334	-8.29346722184181	1.09994258547894e-16	1.52788899764184e-14
AGAP008254-RA	221.364171028959	0.971725349205812	0.117310865310292	8.28333630167637	1.19771572498747e-16	1.64655043223794e-14
AGAP010147-RE	1694.93720377381	-1.9385789737317	0.234462255124812	-8.26819213480539	1.3600558550427e-16	1.85064743132595e-14
AGAP000681-RA	150.555009096203	-0.829773772830109	0.100460117119201	-8.25973328147271	1.45998331815982e-16	1.96655328764254e-14
AGAP001711-RA	1478.76954038955	-0.839834817589035	0.101754573328983	-8.25353387187581	1.53778264283472e-16	2.05063315422011e-14
AGAP001153-RA	729.494336878455	-0.751638762250405	0.0911324207246753	-8.24776469530222	1.61384745076102e-16	2.13075799563348e-14
AGAP001053-RB	545.480927415088	-2.28452768934591	0.277952488817833	-8.21913017962994	2.04984441485355e-16	2.67987012471295e-14
AGAP000272-RA	301.88654312499	-0.688046268506274	0.0837738853880406	-8.21313545765776	2.15486221688175e-16	2.78981433612798e-14
AGAP008521-RA	363.030022215672	-1.8209360906318	0.221938458648052	-8.20468927163012	2.31188035547205e-16	2.96431966732883e-14
AGAP007124-RA	219.916071358475	-2.10314368981047	0.256547174171225	-8.19788289075751	2.44657520922694e-16	3.10715051571822e-14
AGAP007297-RA	1801.107120606	-0.963280595517483	0.117585525050376	-8.19216987043934	2.56558184472014e-16	3.22755036786256e-14
AGAP006184-RA	632.784751135194	-1.34316803574089	0.164485175317216	-8.16589113973669	3.19070916281037e-16	3.97645856879218e-14
AGAP000010-RA	576.160829162801	0.577010590694921	0.0706759382568345	8.16417305417411	3.23644646775405e-16	3.99611237476855e-14
AGAP000897-RA	3057.93109382875	-0.716720120350077	0.0878356779825041	-8.15978355051622	3.35625489996201e-16	4.10602376981591e-14
AGAP003620-RA	8418.79381955628	-0.802273091888413	0.0984435944287256	-8.1495713006423	3.65216649586466e-16	4.42742183839593e-14
AGAP012191-RA	503.897620783217	-0.893382467539059	0.109700376620367	-8.14384138926642	3.82930775459556e-16	4.58167361698486e-14
AGAP000416-RB	118.057706759294	-1.14287629046974	0.140346489553888	-8.14324814323849	3.84812482266445e-16	4.58167361698486e-14
AGAP012304-RA	393.124040059233	-1.59153139893409	0.195531639111773	-8.13950829729566	3.96886403326955e-16	4.68361078616366e-14
AGAP000935-RA	2801.30621389764	-0.789358829890375	0.0970838982206134	-8.13068741941775	4.26862766004683e-16	4.99317103918636e-14
AGAP000253-RA	347.938021970184	-0.977600366355514	0.120331095741863	-8.12425383753409	4.50122861884335e-16	5.21946814193705e-14
AGAP002564-RD	4358.35985847909	-0.682504926705303	0.084112646906291	-8.11417725880954	4.8908704823441e-16	5.62239292086712e-14
AGAP006186-RE	4540.11644916391	-1.83174770619638	0.225825269060331	-8.11134960147891	5.0060595750925e-16	5.7056243105862e-14
AGAP000669-RA	2479.43953375953	-0.916437817086232	0.113595040676161	-8.06758650405198	7.17014022141672e-16	8.10286608920271e-14
AGAP000849-RA	1084.43175857618	-0.954465502768775	0.118416457475695	-8.06024367824617	7.61425117503825e-16	8.46133661826126e-14
AGAP009983-RA	235.58875061059	-1.04131978929151	0.129182832349452	-8.06082178531773	7.57832447030248e-16	8.46133661826126e-14
AGAP000541-RA	1209.75929257822	-0.834703843904056	0.10373850542132	-8.0462297052962	8.5383665137089e-16	9.40984441820728e-14
AGAP013348-RA	292.06872513595	-1.69756866764129	0.211552173003031	-8.02434994424268	1.02064964743437e-15	1.11560352856863e-13
AGAP012179-RA	1995.42399338421	0.648821677174578	0.0811311450469539	7.9971961051342	1.27284430092696e-15	1.36239788734052e-13
AGAP001884-RA	1520.14756115827	-0.906225045704971	0.11330785960407	-7.99790101826637	1.26558042074127e-15	1.36239788734052e-13
AGAP008311-RA	224.132809751489	-1.97183195693011	0.246578055013287	-7.99678607580815	1.27708838333382e-15	1.36239788734052e-13
AGAP001515-RA	365.954562239068	-1.94228825827633	0.243493357471525	-7.97676075620861	1.50223607216888e-15	1.58986650971207e-13
AGAP002456-RA	1428.89748172868	-2.25142093640162	0.282346623212418	-7.97396090941667	1.53668162791061e-15	1.61351570930614e-13
AGAP007309-RA	1483.33144112627	-0.836288755449329	0.104953532904524	-7.96818108267113	1.61026796599964e-15	1.67757213489103e-13
AGAP010878-RA	82.4082883542515	-1.41938580494912	0.178443313186402	-7.95426726619014	1.80194758734398e-15	1.86271093621954e-13
AGAP009224-RD	506.221117954793	-1.04121275008517	0.131152274208448	-7.9389606956438	2.03882362767407e-15	2.07539794465907e-13
AGAP006048-RA	87.8824623634037	-1.86995358027759	0.235533183350664	-7.93923622003436	2.03430022753367e-15	2.07539794465907e-13
AGAP013481-RD	1216.63954450916	-1.30130946923297	0.164000569808814	-7.93478626781594	2.10858127288177e-15	2.13014630862715e-13
AGAP006452-RA	247.185813847606	-2.05374663490059	0.259599593709393	-7.91120897207427	2.5490123479672e-15	2.55572027519869e-13
AGAP012188-RA	4457.93848652431	-1.13730834133229	0.144032610264065	-7.89618642088887	2.87566481549842e-15	2.86171569512473e-13
AGAP006186-RB	2866.9963680562	-1.69515554335457	0.214735719684874	-7.89414795937174	2.92305231860872e-15	2.8873261236035e-13
AGAP011049-RA	484.561514778647	-1.4595701734273	0.185091742009073	-7.88565798551809	3.12882466707597e-15	3.06785859819545e-13
AGAP004050-RB	236.213842547864	-3.38802631696783	0.430448044030486	-7.87092975320356	3.52015263359001e-15	3.42636754517684e-13
AGAP008376-RA	625.509224416741	-0.638703265465677	0.0812180790223442	-7.86405284579509	3.7190053455051e-15	3.59369103495004e-13
AGAP004288-RA	310.08404092046	0.77442931346657	0.098528247791476	7.8599724528296	3.84217947960319e-15	3.65967595432204e-13
AGAP007966-RB	4229.13213815426	-0.80277894359876	0.102133128087291	-7.86012294573649	3.83756605310538e-15	3.65967595432204e-13
AGAP000851-RA	3918.30602160256	-1.2055796969585	0.153632050580253	-7.84718873701908	4.25466712842167e-15	4.02382880549666e-13
AGAP000843-RA	136.977739640975	-0.809654179110505	0.103197238437637	-7.84569617722652	4.305581929833e-15	4.04330528410726e-13
AGAP007021-RA	65.131288798731	-1.83723434115291	0.235062743782921	-7.81593165971715	5.45579711933254e-15	5.08762619484611e-13
AGAP000806-RA	158.765838687889	-1.71954335011057	0.220250431592296	-7.80721898104427	5.84636417316221e-15	5.39520757423858e-13
AGAP001206-RA	22.983176019693	-3.31793555663042	0.425006690668551	-7.80678429182183	5.86655491761975e-15	5.39520757423858e-13
AGAP011329-RA	494.491471264595	-0.956616685831944	0.122745976692794	-7.79346673191693	6.51952524144963e-15	5.95464856813225e-13
AGAP010435-RA	124.453323476457	3.52163104176226	0.452645559575701	7.78010734284757	7.24630371412807e-15	6.57343265495904e-13
AGAP004055-RA	2440.68435177916	-0.677246421299204	0.0871312946291814	-7.77271156341094	7.68235422171842e-15	6.92190496936589e-13
AGAP028142-RA	515.482280487905	-1.89467963702235	0.243817006637768	-7.7709084495374	7.79252071544656e-15	6.97404454634093e-13
AGAP004285-RA	421.193986266083	0.318825590282545	0.0410335517288971	7.76987554937922	7.8563276771761e-15	6.98427530500955e-13
AGAP009564-RB	121.653715981725	-2.66080497583554	0.342539961992009	-7.76786731790906	7.98186056885529e-15	7.04888150236327e-13
AGAP000994-RA	649.932054518199	-0.635491360049473	0.0818448317826492	-7.76458752749486	8.19113510478129e-15	7.18610438304333e-13
AGAP002047-RA	1092.86706702233	-0.656794079519263	0.0846767557312059	-7.75648610823211	8.73148690826398e-15	7.61009006024184e-13
AGAP008666-RA	533.235065945921	0.542418084451255	0.069994224481079	7.74946916652934	9.22774823154778e-15	7.99039108231751e-13
AGAP029561-RC	314.336815987303	-0.856769068029471	0.110623647398608	-7.74489983088597	9.56572270746955e-15	8.22960724542623e-13
AGAP004877-RB	650.318611346322	-1.56255457026486	0.201848351675602	-7.74123027160558	9.84593892027008e-15	8.41638432703856e-13
AGAP007779-RA	27.4463829650981	-2.77797524783815	0.359273352075738	-7.73220510730372	1.05699460164012e-14	8.97772166424906e-13
AGAP011131-RA	3972.15390788192	-1.00021957314009	0.129396538820394	-7.72987888438366	1.07648952160661e-14	9.0854352978634e-13
AGAP008727-RB	5843.47968271651	-1.01846637178241	0.131837970558449	-7.72513690455267	1.11733191373787e-14	9.37083086144311e-13
AGAP006260-RB	448.02516693425	-1.39709905817974	0.181114645804624	-7.71389332968055	1.22036483615528e-14	1.01709781813316e-12
AGAP010286-RD	897.641014809799	0.507434583702565	0.065841838566505	7.70687141717678	1.28939596012511e-14	1.06170410676783e-12
AGAP006879-RA	2559.18444155464	-1.04631118327203	0.135764135894313	-7.70683049967292	1.28980926356497e-14	1.06170410676783e-12
AGAP010147-RK	404.160150231953	-1.44526612397428	0.187551940908853	-7.70595130591932	1.29872146669606e-14	1.06248164161914e-12
AGAP000618-RA	1563.44389816283	-0.781456289767927	0.101420887193924	-7.70508236901665	1.30758922604213e-14	1.06321355666292e-12
AGAP004604-RA	1487.12501318263	0.576088938535561	0.0748303663567028	7.698598397734	1.37566780665658e-14	1.11178970919791e-12
AGAP008208-RA	70.5151378537647	-1.19107461691428	0.155121065958632	-7.678355029045	1.61144379984646e-14	1.29449416090076e-12
AGAP007406-RA	7603.76622247213	-0.761276405978574	0.0992434853615535	-7.67079474491621	1.70933892567729e-14	1.36491224993453e-12
AGAP003328-RA	990.580703663796	-0.929446525560954	0.121236841461239	-7.66637034055455	1.76931847461553e-14	1.39608650053243e-12
AGAP010381-RA	33.0627433368809	-1.79044776279732	0.23353238784962	-7.66680707238887	1.76330698070994e-14	1.39608650053243e-12
AGAP007781-RA	2628.74913260202	-0.420025425376664	0.0549284436564995	-7.64677455642718	2.0608316888411e-14	1.61654062180565e-12
AGAP009867-RA	570.992411298728	-0.796674147013511	0.104282574506857	-7.63957114389349	2.17946452993276e-14	1.69480600480031e-12
AGAP005496-RA	142.202450187642	-2.01120925992921	0.263275403375057	-7.63918404129867	2.18602649288079e-14	1.69480600480031e-12
AGAP001026-RA	155.077628275208	-0.651310920553367	0.0852679849184767	-7.63839934972164	2.19938786148194e-14	1.69530850478969e-12
AGAP011190-RA	487.996886498577	-0.503804561689955	0.0661292981458771	-7.61847737410722	2.56685468938209e-14	1.96718432660403e-12
AGAP000520-RA	62.1245679779455	-1.57743614002518	0.207099851618384	-7.6167902955907	2.60061319608764e-14	1.98166725541878e-12
AGAP001023-RE	358.419929962213	-1.58131948157503	0.207644649842031	-7.61550794965363	2.62656474483818e-14	1.99007050411461e-12
AGAP007857-RA	361.261303940653	-1.36306436464198	0.17963958751757	-7.58777273694565	3.25451072356151e-14	2.45191528241202e-12
AGAP011484-RB	3060.39973527687	-1.34898541933742	0.177875945375634	-7.58385523398717	3.35435419218865e-14	2.51293894117054e-12
AGAP008397-RA	383.122938907074	0.474450571980255	0.0626213848802516	7.57649440183298	3.55017015679999e-14	2.63008439116266e-12
AGAP002737-RB	386.957145552264	-1.67784523855783	0.221450652686778	-7.57661004021061	3.54700867509923e-14	2.63008439116266e-12
AGAP000749-RA	1004.12507795867	-1.58339248254043	0.209111346969766	-7.57200651942318	3.67503016823724e-14	2.70754294438915e-12
AGAP006744-RA	75.9380247798979	-0.939822793936353	0.12441280981309	-7.55406774710965	4.21870560559222e-14	3.09101314563584e-12
AGAP009603-RA	346.628581829338	-1.28306110797215	0.170013399539292	-7.54682343538232	4.46002580453866e-14	3.24996962314334e-12
AGAP004790-RA	2589.62166693783	-1.18470659378614	0.157051474481131	-7.54342866057256	4.57773306451246e-14	3.31761252256922e-12
AGAP008783-RA	91.6683721270138	-2.57651499026425	0.341661986947164	-7.54112277249821	4.6594218495516e-14	3.35856164128489e-12
AGAP006936-RA	4889.7491638502	-0.902172623540139	0.119653169842906	-7.53989739448283	4.70341379964893e-14	3.3720442482967e-12
AGAP007373-RB	490.052555061773	1.06472859038314	0.141384298546378	7.53074140007053	5.04530219926325e-14	3.59781309236232e-12
