id	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP010259-RA	24.456048933368	24.0766077154859	14.8206091189752	20.0815066588763	31.1999253006526	28.2173496584073	20.2262852872854	39.8818861689843	32.3291475166681	23.229815194215	22.5539786600583	48.8928900807262	26.4252595535286	37.9992093821725	7.72357246138434	36.987221302148	27.1430722695162
AGAP010260-RA	2546.25094087028	2741.45010578601	2440.46030159125	2242.85327496325	2204.05186588182	2866.33658304273	3023.82965044917	2987.07188245249	2537.4011996866	2891.14408271335	2412.08866511781	2782.90347826827	2825.68034053422	2552.15098115775	3027.64040486266	2683.82886277781	2675.10056700676
AGAP010261-RA	456.19937433398	666.484277215043	500.607241352051	495.76219564101	386.656217118802	479.694944192924	640.017455876246	826.12478492896	608.137477610838	559.451382594012	378.669431187294	614.653475300558	704.369849478539	780.147033438072	605.334991660998	743.352935438292	508.681280310192
AGAP010263-RA	332.037895133804	524.213413441717	488.256733752905	464.384841486515	378.856235793639	463.310676649333	599.564885301675	450.095572478537	355.620622683349	386.195677603825	356.115452527236	394.13656289565	476.565887810188	338.115414094433	395.833088645947	485.344513672089	399.103692259182
AGAP010264-RA	193.767156933608	327.22298667865	254.420456542408	169.437712434269	229.542307569087	257.597095268686	320.731095269812	258.011386032	256.885658645957	195.517611217977	265.899537887003	288.368270067957	284.299344162101	252.811066501801	260.670570571721	393.327524091135	299.579093937623
AGAP010265-RA	75.2493813334401	120.38303857743	70.8095769017704	110.44828662382	119.228285970351	83.7418118894669	70.791998505499	100.111673444593	103.10376775586	74.5289904147733	46.2950088285407	77.8294984958499	103.878606520768	92.2837942138475	116.819033478438	118.178682697107	89.4716085921089
AGAP010266-RA	900.170724201277	1305.60877293522	726.209846829785	750.546311375503	787.798113841479	802.829109635976	1067.65891623599	1049.13778105757	991.718444092387	804.332351099696	707.482699020776	1145.49056760559	1083.43564169467	1038.38655842304	859.247436329008	1327.931457482	903.763776677594
AGAP010267-RA	571.895298134144	455.266764074643	475.082858980483	656.41424891202	484.713125206568	594.384816998064	569.225457370747	548.5794138346	433.385328872091	445.238124555788	541.295487841399	646.583525965522	564.042609090835	490.887745692147	504.928549663001	562.927465671716	453.389836798215
AGAP010268-RA	288.769500867076	226.538990777527	352.401150162299	245.998456571235	340.970612214275	393.222421046192	277.389055368486	299.521104289514	351.25181896488	277.789873364155	370.360070628326	350.232743231325	271.542322308673	221.01580967182	274.186822379144	311.233935347343	302.594990856458
AGAP010269-RA	73.3681468001041	94.1176483423541	55.9889677827952	50.2037666471908	52.3713031832383	72.818966860406	101.131426436427	124.529154772543	73.3959024702735	184.870612587295	49.8561633538131	104.770478744413	76.5421311205656	78.3249009714168	117.784480036111	96.527626325118	90.4769075650539
AGAP010271-RA	240.798020267008	203.556774321836	167.966903348386	185.753936594606	178.285287432301	179.31670589375	255.718035417823	227.896492394196	145.04428345316	191.645975352274	208.921065482645	242.468822237071	185.888032721374	177.58814180648	192.123864976935	159.676540743419	197.038598697229
AGAP010272-RA	1.881234533336	4.37756503917926	11.5271404258696	7.53056499707863	13.3713965574226	8.19213377179567	4.33420399013259	1.62783208852997	4.36880371846866	0	16.6187211179377	0.997814083280127	6.3785109267138	2.32648220707178	5.79267934603826	4.51063674416439	2.01059794589009
AGAP010273-RA	206.93579866696	186.046514165119	272.534534354488	249.763739069774	219.51376015102	191.149788008566	242.715423447425	293.009775935395	231.546597078839	246.816786438535	237.410301684824	233.48849548755	208.668428888209	223.342291878891	237.499853187568	217.412691068724	262.383031938656
