id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2
AGAP009924-RA	3.85324876076125	3.02618804385437	3.29481974384391	23.1370913055178	5.15416054645	0	8.31670587354855	0	0	66.1014757330849	71.4503902570986	48.6806079572448	161.445362044776	98.653036216276	71.2616013916566	97.2742942404367	35.8787539113342	36.7983112501464
AGAP009925-RA	143.854620401753	203.763328286195	167.212102000078	185.096730444142	156.342869908983	134.24609556555	219.798655229497	176.463474780796	226.884495852387	243.631153416227	213.358804239947	135.459083011464	186.936734999214	205.884597320924	199.011057544992	215.49997493266	109.810731668023	158.23273837563
AGAP009926-RA	55.2298989042446	68.5935956606992	67.5438047488001	86.4596569837771	53.2596589799833	96.4893811877392	68.9098486665451	69.1300210481467	57.6073915250202	78.3774640835149	40.6870277852923	59.2633488175154	60.3295826588373	59.1918217297656	59.0949865199103	73.3298525812523	65.2340980206077	80.9562847503221
AGAP009927-RA	105.322132794141	40.3491739180583	52.7171159015025	73.0644988595299	73.8763011657833	49.5032477397967	55.8407394366831	66.4012044278252	53.1760537154032	35.8836582551032	58.5496253495669	67.7295415057318	73.924981567871	56.618264263254	55.6188108422686	56.868048940563	46.7511035814355	51.517635750205
AGAP009929-RA	1013.40442408021	1510.06783388333	1063.40307232562	573.55631604731	889.951721020366	553.765144207895	719.989108481489	915.063173347837	741.805949329875	821.546912682626	1028.09172647714	655.07165925075	682.319082747131	1057.73211873625	787.353790985864	1459.11441360655	1577.5779371317	1285.18102041136
AGAP009929-RB	459.821018784176	470.06787614538	663.906178384548	443.257959747815	113.3915320219	549.569953721471	471.676033114111	325.638783358375	613.297152850984	585.470213635894	550.763424898468	411.668619464526	486.035510997956	488.975918637194	910.758027542148	341.208293643378	502.302554758679	343.144252407615
AGAP009930-RA	396.884622358409	450.902018534302	518.934109655416	426.209576680591	417.48700426245	444.690191560885	491.873747378443	610.345317411927	536.191874963649	632.685553445241	581.526787370275	488.922627744502	528.521132588687	549.883445344634	484.057463111619	503.581538644722	434.893986804051	482.057877376918
AGAP009931-RA	235.048174406436	305.644992429292	235.57961168484	312.95960344832	304.09547224055	295.341410244211	276.827495505259	277.429689732694	257.903860519706	258.740062155218	296.717592873229	250.810958388413	263.410853862529	319.978978336269	250.284648790209	247.675318412189	166.34694995255	217.110036375864
AGAP009932-RA	601.106806678755	678.874851171331	645.784669793406	546.765999798815	573.829874171433	574.741096640012	689.098486665451	507.559891379814	784.346792302198	629.85263305668	700.610771132106	722.801200756482	401.064267816496	586.771102364633	734.342111901827	574.666599820426	449.028041375183	556.574457658465
AGAP009933-RA	87.3403052439217	96.83801740334	82.3704935960977	37.7499910774238	97.9290503825499	54.5374763235048	39.207327689586	61.8531767272892	62.9249968965605	94.4306796186927	98.2442866035106	81.4871046240836	106.214053976826	76.3488715065092	84.2972601828133	74.0781163831018	36.9659888783444	97.515524812888
AGAP009934-RA	398.169038611996	394.41317504902	427.502861763747	271.556387427919	331.584328488283	314.639286481758	364.746957597058	377.486299144486	371.346108445899	411.7177631375	457.480970951701	425.426182582878	390.86771863472	361.155897800454	410.188729961731	409.300299611683	359.874774080352	393.741930376567
AGAP009935-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP009935-RB	60.3675639185929	69.6023250086506	72.486034364566	42.6209576680591	42.9513378870833	53.6984382262201	39.207327689586	22.7401385026799	53.1760537154032	151.089087389908	142.900780514197	103.710860430652	140.202551249411	113.236528526508	98.2019628933804	84.5538096089949	131.555431008226	82.7962003128294
AGAP009935-RC	521.472998956356	319.767203300612	402.791713684918	252.072521065378	185.5497796722	247.516238698983	184.155630057146	178.28268586101	190.547525813528	1034.96024862087	694.656571944014	747.141504735104	624.538637383738	503.559410947426	573.568986810895	699.626654729295	537.094073703003	624.651333471235
AGAP009936-RA	74.4961427080509	102.890393491049	115.318691034537	86.4596569837771	79.0304617122333	81.3866954366148	60.5931427929966	90.9605540107194	96.6031642496492	84.9876116568234	76.4122229138416	58.2050747314883	75.6244064315002	123.530758392554	111.237621684537	130.946165323665	108.723496701013	128.794089375512
AGAP009939-RA	364.774216018732	339.941790259641	439.034730867201	368.975719240626	333.302382003766	366.659648513409	438.409209619916	416.599337369095	416.545754103992	401.330388379444	461.450437077095	333.356337098524	424.00650347549	406.622079708825	403.236378606447	361.411416293315	326.170490103038	346.82408353263
AGAP009940-RA	2616.35590855689	2549.05906227333	2889.55691535111	2943.2815623914	2853.68688921781	2728.55189236981	3160.34823194845	2644.22330509161	3286.28011961192	3708.29278862606	3078.32098024333	2835.11627646649	2500.70368683039	2550.39544931294	2919.9875692191	2903.26355117611	2128.80606540583	3054.25983376215
AGAP009940-RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP009942-RA	570.280816592665	492.259921800312	603.775718059396	695.330480813193	560.085446047566	667.874325438613	773.453646240015	660.373622117823	713.445387348327	513.702897125688	546.793958773074	577.817650970775	518.324583406912	388.607177443244	384.986456298828	419.027729035727	414.236522430859	501.376990783245
AGAP009943-RA	124.588376597947	167.449071759942	142.500953921249	154.653189252672	183.831726156717	158.578200386806	142.572100689404	129.163986695222	144.461612593512	101.985133988188	121.068716824528	123.818068065166	147.000250703927	140.687808169298	139.047027105671	138.42880334216	176.132064655641	146.273287219332
AGAP009944-RA	88.6247214975088	96.83801740334	133.440199625678	116.903198175248	106.519317959967	134.24609556555	79.6027562182504	90.9605540107194	69.1288698300242	48.1596466055333	62.5190914749613	77.2540082799754	125.757439908562	121.81505341488	104.285270329254	101.015613249684	152.212895381418	205.150585219566
AGAP009945-RA	82.2026402295734	108.942769578757	95.5497725714734	96.2015901650477	79.0304617122333	90.6161145067464	83.1670587354855	67.3108099679324	50.5172510296331	30.2178174779816	52.5954261614754	42.3309634410824	101.115779385938	95.2216262609273	65.1782939557835	72.5815887794027	75.0192127236988	109.474975969186
AGAP009946-RA	0	0	0	1.21774164765883	3.43610703096666	0	0	1.81921108021439	0	0	1.98473306269718	1.05827408602706	0.849712431814609	0	0	0	2.17446993402026	0
AGAP009947-RA	580.556146621362	431.736160923224	543.645257734245	534.588583322227	477.618877304366	429.587505809761	603.555226251809	595.791628770212	558.348564011734	661.959064127036	662.900842940859	534.428413443665	643.232310883659	476.108131304636	499.700253661007	464.671820948547	406.625877661788	403.861465970357
AGAP009948-RA	48.8078176363092	81.7070771840681	65.0726899409172	88.8951402790947	111.673478506417	100.684571674163	83.1670587354855	96.4181872513626	95.7168966877258	65.1571689368979	73.4351233197958	89.9532973123001	79.0232561587587	69.4860515958118	45.1902838093432	74.0781163831018	67.408567954628	89.2359047816051
AGAP009949-RA	0	65.5674076168448	383.846500157815	501.709558835439	123.6998531148	274.365457812093	273.263192988024	62.7627822673964	61.1524617727137	167.142302925086	144.885513576894	122.759793979139	311.844462475962	450.372556639521	220.737155530253	282.095453297266	115.246906503074	333.944674595079
AGAP009949-RB	562.574319071143	392.395716353117	88.1364281478246	12.1774164765883	322.994060910866	317.156400773612	230.491562781203	385.67274900545	413.000683856298	312.565549537873	341.374086783916	296.316744087577	270.208553317046	70.343904084649	357.177050877693	254.409692628834	372.921593684474	197.790922969537
AGAP009950-RA	547.161324028098	593.132856595457	437.387320995279	491.967625654168	582.420141748849	443.012115366316	527.516772550794	503.921469219386	683.312290242931	842.321662198738	777.022994045947	584.167295486937	533.619407179575	588.486807342307	702.187486883641	620.310691733246	596.89199688856	523.455977533333
AGAP009953-RA	32896.4690868724	24959.9989857109	28093.2805458851	45837.0133595261	38608.0985999414	32414.5588123994	43666.2701386471	43993.9815528246	42260.7824227548	52727.2585786894	47399.3950033341	43746.9341681866	33384.3517335642	31651.3254281367	26702.2434678054	36199.5062058757	24377.9824303011	30442.3229394649
