CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP028027-RA	0.00805338209321419	0.0031424559917207	16	12	26.6469774814049
AGAP028045-RA	0.0372538367193119	0.0265034793054751	20	14	378.25585769181
AGAP028055-RA	0.00100774840362693	0.000123575945529727	24	6	10.3720120523979
AGAP028086-RA	0.0026302037439377	0.000558293830352654	20	10	5.09627820802598
AGAP028095-RC	0.203160260353675	0.189282268560105	16	10	224.941609902172
AGAP028141-RA	0.000365855301005208	2.15782700026397e-05	24	14	164.342490278486
AGAP028142-RA	0.0788197079850958	0.0653460291459241	16	10	93.6637121723943
AGAP028153-RA	0.00623554422873369	0.00209444471261698	24	4	35.4790110875238
AGAP028164-RA	0.0372538367193119	0.0265034793054751	20	10	431.107782269539
AGAP028186-RA	0.393322460862855	0.383230548338216	16	4	32.0804162685158
AGAP028190-RA	0.886680376812045	0.88047568240583	20	16	50.409602036462
AGAP028196-RA	4.77005384630199e-05	5.40425960594028e-07	24	8	278.880676332344
AGAP028206-RA	0.0290788229269775	0.0191856279224977	20	0	13.3333452083932
AGAP028215-RA	0.013521274767482	0.00675387899915211	24	16	110.960033381367
AGAP028554-RA	0.00473530063064799	0.00137277958969135	24	14	80.7786159881041
AGAP028555-RA	0.013521274767482	0.00675387899915211	16	10	30.1190572697292
AGAP028559-RB	0.00805338209321419	0.0031424559917207	20	0	188.968453394436
AGAP028560-RA	0.0480192513252851	0.0361944506823709	16	10	14.5572533578943
AGAP028565-RA	0.00473530063064799	0.00137277958969135	24	20	38.6707718474723
AGAP028646-RA	0.0290788229269775	0.0191856279224977	24	6	40.276399177179
AGAP028648-RB	0.0026302037439377	0.000558293830352654	20	8	267.069285098982
AGAP028649-RA	0.000262782766202739	1.12958936488348e-05	24	14	101.283762381131
AGAP028729-RA	0.00623554422873369	0.00209444471261698	20	2	20.4510901048333
