CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP
AGAP005223-RA	0.00969117950210387	0.0174464485217839	24	4	119.311222832868	539.290386146374	164.243052611333	0.304554015481289
AGAP005227-RA	0.00464124344376445	0.0104020698840456	20	12	61.5588377679807	570.522993790826	55.1890287964024	0.0967341008110826
AGAP005234-RA	1.25283213518508e-06	8.7436028783498e-05	24	4	1297.98841113681	2807.62602733922	1835.10837391532	0.653615672474176
AGAP005234-RB	0.0488892471324194	0.061568036359375	24	6	85.7157455324911	735.175100404294	222.53113878303	0.302691343410099
AGAP005235-RA	0.0191856279224977	0.0290788229269775	24	8	27.8231046651252	107.779052696107	23.7320925087452	0.220192068078944
AGAP005236-RA	0.00675387899915211	0.013521274767482	20	6	41.5855521331253	259.471946382493	64.0288331497883	0.246765918406463
AGAP005237-RA	0.0031424559917207	0.00805338209321419	20	0	42.2161943988975	199.009290989129	36.7552864704266	0.184691309072772
AGAP005243-RA	0.0864660957623142	0.0999941246176127	8	0	106.196700259556	881.185669752012	89.5082651326142	0.101577077572998
AGAP005244-RA	0.000883854124400343	0.00353659496976724	24	18	119.684120038868	358.114031143781	200.549364992495	0.560015379324736
AGAP005246-RD	0.000209118029496181	0.00139769088311367	16	4	71.750085435473	255.97078124108	68.4963114220993	0.267594258571206
AGAP005246-RE	0.00675387899915211	0.013521274767482	20	18	27.7974665665354	74.5817083518105	25.025922706647	0.335550408534448
AGAP005247-RA	0.000123575945529727	0.00100774840362693	20	4	95.9808599321083	334.211822015011	108.264456463744	0.323939637476025
AGAP005250-RA	0.0864660957623142	0.0999941246176127	16	2	34.1497918722474	310.256083561751	46.7340485285002	0.150630562959448
AGAP005253-RA	0.383230548338216	0.393322460862855	24	20	5.64399081293484	20.5862224288465	4.57804776156686	0.222384061835058
AGAP005260-RA	0.00969117950210387	0.0174464485217839	20	2	7.12668666520729	43.8205980341126	14.8008292037097	0.337759635142081
AGAP005263-RA	0.00209444471261698	0.00623554422873369	24	12	98.239186406867	883.850847175936	113.015408180338	0.127867058725398
AGAP005270-RA	0.00137277958969135	0.00473530063064799	20	2	7.89103966542112	34.7463607414662	15.4123770303098	0.443568094655643
AGAP005281-RA	0.00969117950210387	0.0174464485217839	24	18	64.183129242141	336.06882181087	62.9406511534218	0.187285005536286
AGAP005285-RB	0.0864660957623142	0.0999941246176127	20	14	58.5519518251074	263.370589180941	80.7791658276964	0.306712932825614
AGAP005293-RA	0.000558293830352654	0.0026302037439377	24	14	186.613834549152	647.264516373428	231.124119030661	0.357078309074675
AGAP005293-RB	0.0265034793054751	0.0372538367193119	24	14	43.54422944163	136.721213600606	66.5577374076742	0.486813535769984
AGAP005300-RB	0.0361944506823709	0.0480192513252851	20	18	100.674655273421	488.635574840799	81.6211489540872	0.167038900065105
AGAP005300-RC	0.383230548338216	0.393322460862855	24	18	63.8713376675481	402.649026526346	57.8637512452496	0.143707664574382
AGAP005313-RA	0.00675387899915211	0.013521274767482	20	6	5.02524724299058	11.2401245947269	9.071572204546	0.807070431301249
AGAP005320-RA	0.00209444471261698	0.00623554422873369	24	22	22.6676233453809	97.1012135885664	20.3231127801299	0.209298236644521
AGAP005322-RA	0.000209118029496181	0.00139769088311367	24	2	276.651377596429	1190.95716773607	334.956531972206	0.281249856037171
AGAP005323-RB	0.0031424559917207	0.00805338209321419	24	4	56.9152734517676	143.434278933129	56.280929128521	0.392381302064899
AGAP005327-RA	0.00675387899915211	0.013521274767482	24	4	98.0215981653899	238.79795553004	155.120628682665	0.649589433621225
AGAP005341-RB	0.000558293830352654	0.0026302037439377	24	8	133.796164419318	673.57053290936	138.659629577481	0.205857624113346
AGAP005343-RA	0.00209444471261698	0.00623554422873369	16	4	20.970149784649	53.0630749406964	22.7940960522855	0.429566060349128
AGAP005345-RA	0.00209444471261698	0.00623554422873369	20	2	53.1495446745593	101.802953557534	92.7045033305454	0.910626854044594
AGAP005350-RA	0.0031424559917207	0.00805338209321419	24	4	48.8463187848266	124.184933965847	48.1735403351518	0.387917751346555
AGAP005360-RA	0.00969117950210387	0.0174464485217839	24	6	75.3205101099755	627.754898738097	129.759984020309	0.206704852930898
AGAP005363-RA	0.00464124344376445	0.0104020698840456	20	2	3.2477816413976	9.66367921317581	8.60033182131461	0.889964539550175
AGAP005364-RA	0.00675387899915211	0.013521274767482	24	2	214.260060717322	1113.98450113185	275.545927281341	0.247351670513707
AGAP005369-RA	2.15782700026397e-05	0.000365855301005208	24	20	132.003802604663	594.280427848528	130.732165213281	0.219983965628097
AGAP005369-RB	0.00209444471261698	0.00623554422873369	20	18	41.3911887476682	143.076721961475	33.2335377321624	0.232277740757235
AGAP005375-RA	0.00675387899915211	0.013521274767482	20	2	32.036552855921	240.008906745592	52.1311193467	0.217204936489956
AGAP005376-RA	0.000209118029496181	0.00139769088311367	20	2	124.262102152711	1392.53445922645	206.603662522358	0.148365206443168
AGAP005380-RA	0.00969117950210387	0.0174464485217839	16	6	283.950398057869	3468.81554727856	292.493960942811	0.0843209899622036
AGAP005381-RB	0.00675387899915211	0.013521274767482	24	8	165.256583576182	778.797770001716	185.420996754718	0.238086193742324
AGAP005387-RA	7.11438421522455e-05	0.000741328716315586	24	20	21.4304985655576	52.404597326653	24.4140110198948	0.465875367149856
AGAP005388-RA	5.40425960594028e-07	4.77005384630199e-05	24	22	48.4775196631626	74.9864009431997	54.7813772247476	0.730550827025864
AGAP005400-RB	0.88047568240583	0.886680376812045	8	4	55.1728001158055	412.798604153607	51.7217851985632	0.12529544595872
AGAP005402-RA	0.00675387899915211	0.013521274767482	24	22	26.309916627177	77.5651675719978	26.4153185040841	0.340556455055225
AGAP005404-RA	1.25283213518508e-06	8.7436028783498e-05	24	6	67.7463947125739	451.925370979045	83.5525555233164	0.184881312023508
AGAP005408-RA	0.00675387899915211	0.013521274767482	20	16	67.2257941452289	348.038709086128	80.239336777099	0.230547162376822
AGAP005414-RA	0.0265034793054751	0.0372538367193119	20	0	49.3053110436871	616.208430342325	66.839376641359	0.108468779961721
AGAP005421-RA	0.0191856279224977	0.0290788229269775	24	20	36.1573555130176	266.061923134404	30.5148257582676	0.11469069079401
AGAP005422-RA	0.000883854124400343	0.00353659496976724	24	22	51.0408202765735	287.484981688577	51.2379972396146	0.178228431059814
AGAP005423-RA	0.00969117950210387	0.0174464485217839	24	20	87.0191067490757	377.183815780846	75.2188576136455	0.199422282893892
AGAP005425-RA	0.00464124344376445	0.0104020698840456	24	6	247.719911856331	776.130484014407	121.044547016021	0.155959016568886
AGAP005432-RA	3.9803800308002e-05	0.000538068489749162	20	2	68.7582074245093	407.284546088394	112.924129460915	0.277261021920548
AGAP005438-RA	0.00137277958969135	0.00473530063064799	24	0	22.165180604297	108.639875156837	31.1722878106573	0.286932286746976
AGAP005456-RA	0.0191856279224977	0.0290788229269775	24	4	273.509768170831	1390.96820189699	298.478995640765	0.214583622568584
AGAP005462-RA	0.147108417084783	0.160769249698264	24	22	57.1825677220167	606.576037548193	58.810885553634	0.0969555041958962
AGAP005465-RA	0.0361944506823709	0.0480192513252851	12	2	57.6358530383011	367.666605705677	30.2865824514063	0.0823751245867871
AGAP005467-RA	0.383230548338216	0.393322460862855	24	20	146.625630050018	915.475817355358	85.4034579280502	0.0932886006478742
AGAP005486-RA	0.0137221278371488	0.0225397403608559	24	20	41.8292137690508	198.351741330604	41.1906063049559	0.207664455217972
AGAP005496-RA	0.00675387899915211	0.013521274767482	24	0	29.0829240409531	65.0487205151292	52.7664018157435	0.811182778045127
AGAP005499-RA	0.00675387899915211	0.013521274767482	20	6	85.4891877030214	84.925882808257	110.929751947608	1.30619486403293
AGAP005507-RC	0.0488892471324194	0.061568036359375	16	10	277.800159947209	2953.81208424832	356.122077269941	0.120563552153172
AGAP005509-RA	0.0137221278371488	0.0225397403608559	24	6	94.4631762038188	405.443751776098	79.6258608627203	0.196391880535608
AGAP005510-RA	7.11438421522455e-05	0.000741328716315586	20	12	204.291415794982	724.370451602627	292.216515775782	0.403407559114636
AGAP005511-RA	0.00464124344376445	0.0104020698840456	24	14	37.2208487707864	183.619133921205	50.9261988521933	0.277346906962576
AGAP005521-RA	2.73769181332207e-06	0.000117368759025422	24	16	297.914541927367	1246.10532603618	385.006681851131	0.308968009209803
AGAP005523-RA	0.00464124344376445	0.0104020698840456	16	4	29.3692891000662	121.1756301108	29.9339066915784	0.247029098707451
AGAP005528-RA	0.0137221278371488	0.0225397403608559	24	12	251.480147795446	2620.83974465534	307.579735528967	0.117359230436051
AGAP005530-RA	0.0031424559917207	0.00805338209321419	24	12	145.233877491219	363.239147901516	213.702444908731	0.588324375671841
AGAP005532-RA	0.0864660957623142	0.0999941246176127	20	6	22.2624978414639	166.99643995872	24.5913006257237	0.147256436315663
AGAP005535-RA	0.0137221278371488	0.0225397403608559	16	6	44.1209559674055	732.848955079473	54.6603474787844	0.0745861027704636
AGAP005536-RA	0.0031424559917207	0.00805338209321419	24	6	331.617208346205	1088.91701608845	148.891898976398	0.136733926255684
AGAP005538-RA	0.00464124344376445	0.0104020698840456	24	22	32.4870668803079	76.8092966810897	30.0083654197965	0.390686631911115
AGAP005540-RA	0.0191856279224977	0.0290788229269775	20	2	49.5712336537662	347.006669563429	89.0894894120026	0.256737109762434
AGAP005543-RA	0.0191856279224977	0.0290788229269775	8	4	818.5260223061	4262.89608469449	737.619838103021	0.173032563648777
AGAP005544-RA	0.00675387899915211	0.013521274767482	24	0	28.6188432573202	227.630904546523	43.3477368895553	0.190429928554345
AGAP005546-RA	0.00969117950210387	0.0174464485217839	20	16	79.3468974465034	317.646643081208	82.0140916829586	0.258192848781314
AGAP005547-RA	0.0759060624541192	0.0914835716565509	8	4	4.67402262366233	11.7302564408194	9.06582460342101	0.772858176558988
AGAP005548-RA	0.130208848253754	0.145696030428604	12	4	7.22669944020852	8.94204092967305	7.05292873709506	0.788738140718054
AGAP005549-RA	0.189282268560105	0.203160260353675	24	22	31.4082133116347	183.951694499861	36.8297424510516	0.200214205969597
AGAP005552-RA	0.000209118029496181	0.00139769088311367	20	8	125.730771681649	271.128470919713	107.789591176767	0.397559101082697
AGAP005552-RB	0.000123575945529727	0.00100774840362693	24	8	83.8991931110128	145.510365872508	80.8540438466527	0.55565830902724
AGAP005553-RA	0.0265034793054751	0.0372538367193119	20	8	384.769944643632	703.303711815617	329.573767978075	0.468608031553341
AGAP005562-RA	0.0864660957623142	0.0999941246176127	24	6	24.3643298517801	178.21651125772	24.6220473164841	0.138158059220887
AGAP005563-RA	0.0137221278371488	0.0225397403608559	24	12	557.603610114512	1355.77706371781	650.848044756198	0.480055358785493
AGAP005563-RB	0.00464124344376445	0.0104020698840456	20	6	147.567285649396	441.798884126511	138.588530293702	0.313691444847598
AGAP005567-RA	0.0137221278371488	0.0225397403608559	20	16	212.884192289997	2047.37246691687	212.83502399917	0.103955204750642
AGAP005573-RA	0.305419770472292	0.316712070209864	20	12	9.17549346386477	167.649392973528	25.2601216748563	0.150672312179769
AGAP005585-RB	0.000209118029496181	0.00139769088311367	24	14	129.881167753118	170.963858011416	212.951911092643	1.2455960784321
AGAP005606-RA	0.00969117950210387	0.0174464485217839	24	16	102.051218831987	499.1007034115	148.489130656665	0.297513366824967
AGAP005609-RA	1.25283213518508e-06	8.7436028783498e-05	24	12	401.428778362657	1208.30398582132	518.242776073649	0.428900990276369
AGAP005610-RA	0.000123575945529727	0.00100774840362693	24	16	57.9210394482798	60.4800463143957	95.2220134661651	1.57443684766987
AGAP005617-RA	0.0031424559917207	0.00805338209321419	24	22	84.2674777234319	371.414630807257	155.183875794162	0.417818424268519
AGAP005617-RB	0.00675387899915211	0.013521274767482	24	20	889.702010650975	2653.91111864355	738.91506843696	0.278424949217828
AGAP005618-RA	0.0361944506823709	0.0480192513252851	24	22	67.8385468288083	613.52695320253	80.3676830821682	0.130992913453369
AGAP005624-RA	0.344325159405254	0.356686159259637	12	6	18.1615812944929	31.5946473080802	12.7250721061062	0.402760378428147
AGAP005630-RA	0.0137221278371488	0.0225397403608559	24	22	532.789678654799	1755.15689886707	443.807430328365	0.252859120808422
AGAP005635-RA	0.000558293830352654	0.0026302037439377	20	14	100.136975573047	533.560155958873	141.392542271487	0.264998314983598
AGAP005641-RA	0.000345488428471622	0.00197112314418885	24	8	286.760358335281	700.155033915317	269.432632514163	0.384818532272027
AGAP005644-RA	0.00209444471261698	0.00623554422873369	20	18	106.843355363676	415.155116725315	118.228944615277	0.284782578492227
AGAP005645-RA	1.12958936488348e-05	0.000262782766202739	24	16	604.792646923201	1204.06095657601	1572.80450982866	1.30624990474007
AGAP005646-RA	0.00209444471261698	0.00623554422873369	20	2	8.12413364536733	35.9193556992686	15.9292050960332	0.443471348133273
AGAP005647-RA	0.113309279422725	0.126881025204327	20	14	21.7848988647548	164.212285825351	35.636835563227	0.217016865602424
AGAP005653-RA	0.189282268560105	0.203160260353675	16	14	27.6298544813345	72.5902863014416	22.1519537826358	0.305164160541351
AGAP005655-RA	1.12958936488348e-05	0.000262782766202739	24	4	1540.15613963222	1252.04978159814	1116.40050171098	0.891658237650892
AGAP005656-RA	0.0031424559917207	0.00805338209321419	24	4	52.0195042090615	58.1887594375384	54.2301784383144	0.931970005246921
AGAP005673-RA	0.0191856279224977	0.0290788229269775	24	0	9.69755973598144	27.1403412653106	10.6594814553082	0.39275414229712
AGAP005674-RA	0.383230548338216	0.393322460862855	24	10	96.6206935015097	366.227737413449	89.6191312797075	0.244708748476178
AGAP005681-RA	0.0361944506823709	0.0480192513252851	20	12	142.84999293462	1555.2374675449	297.755679118635	0.191453514548278
AGAP005711-RA	0.000883854124400343	0.00353659496976724	24	2	310.140154891856	1232.16082743509	400.902793056563	0.325365637447748
AGAP005712-RB	0.168195342822444	0.183613759116098	24	16	40.3596135939898	36.6467025203704	29.3805252797373	0.801723572902797
AGAP005713-RA	0.00675387899915211	0.013521274767482	20	12	59.2405283309957	654.790049713629	80.1494994337075	0.122404883013663
